web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time,updates,updates-href,createdby,shares
"1543713800-1856","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/BarbaraAbe","https://d2g8igdw686xgo.cloudfront.net/24163014_1506515402.05.jpeg","of $25,000 goal","$13,640","126","Raised by 126 people in 14 months","Updates   3","https://www.gofundme.com/BarbaraAbe#updates","Created September 26, 2017","418"
"1543711647-1060","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/malcolm039s-medical-fund","https://d2g8igdw686xgo.cloudfront.net/34871768_1543520377588062_r.jpg","of $20,000 goal","$18,545","212","Raised by 212 people in 4 days","Updates   3","https://www.gofundme.com/malcolm039s-medical-fund#updates","Created November 26, 2018","817"
"1543713978-1921","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/2deeps-2017-business-wish","https://d2g8igdw686xgo.cloudfront.net/16531246_1480964269.4903.jpg","of $1,400 goal","$1,455","63","Raised by 63 people in 24 months","Updates   7","https://www.gofundme.com/2deeps-2017-business-wish#updates","null","99"
"1543713059-1581","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/angie-angs-business-fund","https://d2g8igdw686xgo.cloudfront.net/18464656_1487960664.9672.jpg","of $6,500 goal","$6,510","15","Raised by 15 people in 21 months","Updates   8","https://www.gofundme.com/angie-angs-business-fund#updates","null","291"
"1543712283-1294","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/6b7mhb-raising-money-to-start-a-business","https://d2g8igdw686xgo.cloudfront.net/31083028_1530804423522044_r.jpeg","of £10,000 goal","£700","25","Raised by 25 people in 4 months","Updates   2","https://www.gofundme.com/6b7mhb-raising-money-to-start-a-business#updates","Created July 5, 2018","7"
"1543713304-1670","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/LILAKclosetohome","","of $1,023 goal","$575","21","Raised by 21 people in 53 months","Updates   3","https://www.gofundme.com/LILAKclosetohome#updates","null","362"
"1543713119-1605","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/start-parttime-lawn-care-business","https://d2g8igdw686xgo.cloudfront.net/20775274_1496183744.5027.jpg","of $1,500 goal","$700","4","Raised by 4 people in 18 months","Updates   3","https://www.gofundme.com/start-parttime-lawn-care-business#updates","null","86"
"1543713480-1735","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/2hdbnw4","","of $25,000 goal","$8,480","122","Raised by 122 people in 28 months","Updates   3","https://www.gofundme.com/2hdbnw4#updates","null","811"
"1543713778-1848","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/uawrk-business-startup","https://d2g8igdw686xgo.cloudfront.net/24619058_1530321702.4823.jpg","of $3,000 goal","$750","14","Raised by 14 people in 5 months","null","","Created June 29, 2018","61"
"1543711915-1151","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/mbv9a-starting-a-new-business","https://d2g8igdw686xgo.cloudfront.net/29320784_15243656310_r.jpeg","goal","$200,000","7 months","Campaign created 7 months ago","null","","Created April 21, 2018","null"
