web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time
"1543365737-312","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/bzbi-shs-refugee-support","https://d2g8igdw686xgo.cloudfront.net/34026956_154055584934199_r.jpeg","of $3,000 goal","$2,202","23","Raised by 23 people in 1 month"
"1543370320-629","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/iLEADMakery","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/11135707_1462312569.2154.jpg","of $37,100 goal","$520","8","Raised by 8 people in 31 months"
"1543385339-863","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-und-computer-science-camp","https://d2g8igdw686xgo.cloudfront.net/26840762_1515540241.3682.jpg","goal","$1,000","10 months","Campaign created 10 months ago"
"1543366581-541","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/preparing-myself-to-enter-the-world","https://d2g8igdw686xgo.cloudfront.net/31465984_1532031417987308_r.jpeg","goal","$4,000","4 months","Campaign created 4 months ago"
"1543366383-480","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/briam-education","https://d2g8igdw686xgo.cloudfront.net/25225482_15118281050_r.jpg","of $8,000 goal","$120","4","Raised by 4 people in 12 months"
"1543365756-317","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/juzzysbeard","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/15160259_1477202727.0955.png","of $4,000 goal","$4,205","63","Raised by 63 people in 25 months"
"1543366304-456","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/zgc6x24","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/5306315_1436990007.1939.jpg","of $1,500 goal","$600","6","Raised by 6 people in 41 months"
"1543378250-755","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/GetGageComputing","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/4885399_1433899509.9924.jpg","of $500 goal","$445","6","Raised by 6 people in 42 months"
"1543382455-822","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/new-computer-for-educationbusiness","https://d2g8igdw686xgo.cloudfront.net/34322850_154163593040952_r.jpeg","goal","$4,000","20 days","Campaign created 20 days ago"
"1543377950-751","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-for-better-in-education-and-creativity","https://d2g8igdw686xgo.cloudfront.net/34638154_1542565070414608_r.jpeg","goal","$1,000","9 days","Campaign created 9 days ago"
